Id,Date,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Total_Deaths,Total_Injuries,Temp_C,Wind_ms,Precip_mm
us10007tup,2019-08-07,0,0,TAIWAN:  TAIPEI,24.475,121.947,10,5.9,0,1,0,31.9,12.0,25.7
us1000avwk,2022-03-22,0,0,"TAIWAN: HUALIEN, T'AIT-TUNG",23.412,121.562,24,6.7,7,0,1,25.6,11.3,16.4
us100044k6,2010-01-02,0,0,TAJIKISTAN,38.245,71.467,47,5.1,0,0,0,-13.0,3.6,0.0
usp000htk2,2012-05-12,0,0,TAJIKISTAN,38.612,70.354,10,5.7,0,1,0,11.6,7.6,8.0
us1000db5t,2015-12-07,0,0,TAJIKISTAN,38.211,72.78,22,7.2,3,2,0,-11.3,3.3,1.2
us10007ca2,2016-07-01,0,0,TAJIKISTAN:  RASHT,38.881,70.559,10,5.0,0,0,0,13.1,5.9,3.7
us10007ca5,2013-11-10,0,0,TAJIKISTAN:  VAHDAT,38.41,68.89,23,5.2,4,0,0,12.1,6.8,0.0
us1000dz25,2021-07-10,0,0,TAJIKISTAN: RASHT; TOJIKOBOD,38.959,70.572,16,5.8,8,5,0,11.8,8.2,0.8
us20005hen,2016-09-10,0,0,TANZANIA:  LAKE VICTORIA;  UGANDA: RAKAI,-1.036,31.618,40,5.9,0,23,252,26.7,16.5,0.0
usp000hb0j,2019-03-21,0,0,"TANZANIA:  SONGWE, MBEYA",-7.914,32.109,22,5.5,0,1,0,26.9,11.0,2.0
us10006nkx,2017-05-25,0,0,TANZANIA: MWANZA,-3.043,32.888,10,4.4,0,1,18,32.2,17.8,0.0
us20004yvv,2013-04-18,0,0,TEXAS:  WEST,31.817,-97.088,0,2.1,0,14,200,26.4,33.7,19.6
us700036we,2014-05-05,0,0,THAILAND:  CHIANG RAI,19.656,99.67,6,6.1,5,1,32,31.1,9.2,38.2
us7000bfgl,2018-01-08,0,0,THE NETHERLANDS: GRONINGEN,53.2,6.6,0,3.4,0,0,0,1.7,28.9,0.0
us6000ezru,2019-05-22,0,0,THE NETHERLANDS: GRONINGEN,53.394,6.586,10,3.2,0,0,0,15.7,21.8,0.0
us6000exi9,2022-11-11,5866,0,TONGA ISLANDS,-19.318,-172.1,24,7.3,5,0,0,25.8,26.6,10.8
usp000jmr8,2018-04-24,0,0,TURKEY:  ADIYAMAN,37.596,38.514,10,5.2,0,0,39,25.9,10.9,0.0
us10003mgj,2020-06-14,0,0,TURKEY:  BINGOL,39.421,40.697,10,5.9,0,1,35,16.1,19.9,3.1
us2000jkr3,2017-02-06,0,0,TURKEY:  CANAKKALE,39.599,26.065,10,5.3,0,0,5,17.5,30.7,0.0
us10008vt5,2019-08-08,0,0,TURKEY:  DENIZLI,37.948,29.697,10,5.8,0,0,0,30.3,10.8,0.0
usp000h8x1,2020-01-24,0,0,TURKEY:  ELAZIG AND MALATYA PROVINCES,38.39,39.081,12,6.7,0,41,1600,-3.3,17.7,0.0
us2000kacn,2010-03-08,0,0,"TURKEY:  ELAZIG PROVINCE:  OKCULAR, YUKARI DEMIRCI",38.864,39.986,12,6.1,0,51,100,12.0,11.3,1.5
usp000h8xh,2011-10-23,0,0,"TURKEY:  ERCIS, VAN",38.722,43.513,16,7.1,0,604,2608,14.8,8.0,0.0
us10003ksq,2012-06-10,0,0,TURKEY:  FETHIYE; GREECE:  RHODES,36.42,28.88,35,6.1,0,0,6,32.6,12.3,0.0
us20007ebw,2019-09-26,0,0,TURKEY:  ISTANBUL,40.89,28.173,10,5.7,0,1,34,25.2,9.8,0.0
usp000j1up,2011-05-19,0,0,TURKEY:  SIMAV,39.12,29.04,7,4.3,0,2,125,19.6,11.7,7.3
us60007ewc,2012-06-14,0,0,TURKEY:  SIRNAK,37.294,42.325,5,5.3,0,0,23,40.2,9.8,0.0
usp000jjyr,2011-11-09,0,0,TURKEY:  VAN,38.429,43.229,5,5.7,0,40,0,5.2,16.9,0.0
us10008riw,2020-06-25,0,0,TURKEY:  VAN,38.558,44.023,10,5.4,0,0,5,26.5,14.2,0.0
