Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Temp_C,Wind_ms,Precip_mm
,2010,12,16,12.0,14.0,24.5,,,"ETHIOPIA:  JIMA,  HOSA'INA, SHENK'OLA, WENJELA",7.521,37.839,10.0,5.1,,,,,,,3.0,,2.0,,,,3.0,,,,,,3.0,,2.0,,,,3.0,25.5,13.3,0.0
,2010,12,19,5.0,5.0,30.0,,,OKLAHOMA:  LUTHER,35.827,-96.772,5.0,3.7,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,12.4,19.0,0.0
,2010,12,20,18.0,41.0,59.2,,,IRAN:  KERMAN,28.412,59.18,12.0,6.5,,7.0,1.0,,,25.0,1.0,,3.0,,3.0,1800.0,4.0,7.0,1.0,,,25.0,1.0,,3.0,,3.0,1800.0,4.0,23.6,11.5,0.0
,2010,12,21,17.0,19.0,40.6,5402.0,,JAPAN:  BONIN ISLANDS,26.901,143.698,14.0,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,12,25,13.0,16.0,37.0,5403.0,,VANUATU ISLANDS,-19.702,167.947,16.0,7.3,,,,,,,,,,,,,,,,,,4.0,1.0,,1.0,,,,,,,
,2010,12,25,21.0,30.0,15.7,,,NEW ZEALAND:  CHRISTCHURCH,-43.55,172.647,5.0,4.5,,,,,,,,,1.0,,,20.0,1.0,,,,,,,,1.0,,,20.0,1.0,,,
,2011,1,5,16.0,32.0,24.2,,,IRAN:  FARS PROVINCE,30.16,51.62,24.0,4.5,,,,,,16.0,1.0,,2.0,,,,,,,,,16.0,1.0,,2.0,,,,,15.2,8.9,0.0
,2011,1,9,10.0,3.0,44.2,5419.0,,VANUATU ISLANDS,-19.157,168.311,24.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,1,18,20.0,23.0,23.4,,,"PAKISTAN: GARHI KHAIRO, QUETTA, BALOCHISTAN",28.777,63.951,68.0,7.2,,3.0,1.0,,,,2.0,,2.0,200.0,3.0,200.0,3.0,3.0,1.0,,,,2.0,,2.0,,,200.0,3.0,19.4,15.7,0.0
,2011,2,1,7.0,11.0,26.0,,,CHINA:  YUNNAN PROVINCE:  PINGYUAN,24.693,97.943,31.0,4.8,,,,,,1.0,1.0,,2.0,,,700.0,3.0,,,,,1.0,1.0,,2.0,,,700.0,3.0,23.9,11.7,0.0
,2011,2,4,13.0,53.0,46.2,,,MYANMAR (BURMA):  MONYWA,24.618,94.68,85.0,6.3,,1.0,1.0,,,,,,1.0,,2.0,,,1.0,1.0,,,,,,1.0,,2.0,,,27.8,7.3,0.0
,2011,2,11,20.0,5.0,30.7,5406.0,,CHILE:  OFF COAST CENTRAL,-36.474,-73.125,28.0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,20.5,0.0
,2011,2,17,22.0,47.0,21.5,,,COLORADO:  PAONIA,38.947,-107.497,1.0,3.1,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,7.9,18.1,3.1
,2011,2,21,23.0,51.0,42.3,5407.0,,"NEW ZEALAND:  CHRISTCHURCH, LYTTELTON",-43.583,172.68,6.0,6.1,,185.0,3.0,,,1500.0,4.0,15000.0,4.0,100000.0,4.0,,,185.0,3.0,,,1500.0,4.0,15000.0,4.0,100000.0,4.0,,,23.0,20.7,9.1
,2011,3,3,15.0,12.0,1.4,,,PHILIPPINES:  MINDANAO,9.457,125.935,50.0,5.5,,,,,,,,,1.0,,,,2.0,,,,,,,,1.0,,,,2.0,28.5,14.9,4.4
,2011,3,9,2.0,45.0,20.3,5412.0,,JAPAN:  HONSHU:  E COAST,38.435,142.842,32.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,3,10,4.0,58.0,16.0,,,CHINA:  YUNNAN PROVINCE:  PINGYUAN,24.719,97.969,26.0,5.5,,25.0,1.0,,,250.0,3.0,,3.0,1039.0,4.0,12528.0,,25.0,1.0,,,250.0,3.0,,3.0,1039.0,4.0,12528.0,4.0,29.7,15.5,0.1
,2011,3,11,5.0,46.0,24.1,5413.0,,JAPAN:  HONSHU,38.297,142.372,30.0,9.1,,1475.0,4.0,,,6157.0,4.0,4401.709,4.0,2473.0,4.0,5618.0,4.0,18428.0,4.0,,,6167.0,4.0,220136.6,4.0,123661.0,4.0,280920.0,4.0,,,
,2011,3,11,6.0,15.0,40.2,,,JAPAN:  NEAR E COAST HONSHU,36.281,141.111,43.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,3,11,6.0,25.0,50.3,,,JAPAN:  OFF EAST COAST HONSHU,38.058,144.59,19.0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,3,24,13.0,55.0,12.0,,,MYANMAR:  TACHILEK,20.687,99.822,8.0,6.8,,104.0,3.0,,,123.0,3.0,3.6,2.0,,,10104.0,4.0,104.0,3.0,,,123.0,3.0,3.6,2.0,,,10104.0,4.0,32.6,7.7,0.0
,2011,4,4,11.0,31.0,43.0,,,"NEPAL-INDIA:  UTTARAKHAND, UTTAR PRADESH",29.698,80.754,26.0,5.4,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,15.1,7.6,0.2
,2011,4,7,14.0,32.0,43.2,5429.0,,JAPAN: NEAR E COAST HONSHU,38.276,141.588,42.0,7.1,,3.0,1.0,,,132.0,3.0,,1.0,,,,,3.0,1.0,,,132.0,3.0,,1.0,,,,,15.1,14.9,0.0
,2011,4,10,9.0,2.0,47.3,,,CHINA:  SICHUAN PROVINCE:  LUHUO,31.373,100.757,43.0,5.1,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,-2.6,3.7,0.0
,2011,4,11,8.0,16.0,12.7,,,JAPAN:  HONSHU,37.001,140.401,11.0,6.6,,7.0,1.0,,,,,,1.0,3.0,1.0,,,7.0,1.0,,,,,,1.0,3.0,1.0,,,14.0,22.3,11.3
,2011,4,24,23.0,7.0,51.4,,,INDONESIA:   SULAWESI:  KENDARI,-4.586,122.771,8.0,6.1,,,,,,14.0,1.0,,2.0,,2.0,,,,,,,14.0,1.0,,2.0,,2.0,,,30.5,9.8,8.2
,2011,5,10,8.0,55.0,9.0,5721.0,,NEW CALEDONIA:  LOYALTY ISLANDS,-20.244,168.226,11.0,6.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,5,11,16.0,47.0,25.7,,,SPAIN:  LORCA,37.699,-1.672,1.0,5.1,,10.0,1.0,,,,3.0,,1.0,,1.0,,1.0,10.0,1.0,,,,3.0,,1.0,,1.0,,,23.9,15.2,0.0
,2011,5,19,21.0,12.0,51.0,,,TURKEY:  SIMAV,39.12,29.04,7.0,4.3,,2.0,1.0,,,125.0,3.0,,1.0,,,,2.0,2.0,1.0,,,125.0,3.0,,1.0,,,,2.0,19.6,11.7,7.3
,2011,6,8,1.0,53.0,26.0,,,CHINA:  XINJIANG PROVINCE:  DABANCHENG,43.015,88.247,21.0,5.3,,,,,,8.0,1.0,,1.0,,,50.0,1.0,,,,,8.0,1.0,,1.0,,,50.0,1.0,33.5,16.6,0.0
,2011,6,13,2.0,20.0,49.3,,,NEW ZEALAND:  SOUTH ISLAND:  CANTERBURY,-43.564,172.743,6.0,6.0,,1.0,1.0,,,45.0,1.0,3000.0,4.0,100.0,2.0,,,1.0,1.0,,,45.0,1.0,3000.0,4.0,100.0,2.0,,,,,
,2011,6,20,10.0,16.0,55.2,,,CHINA:  YUNNAN PROVINCE:  BAOSHAN,25.075,98.721,39.0,5.3,,,,,,4.0,1.0,,2.0,,,,,,,,,4.0,1.0,,2.0,,,,,22.6,7.4,6.5
,2011,6,24,3.0,9.0,39.4,5432.0,,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,52.05,-171.836,52.0,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,6,26,7.0,48.0,16.7,,,CHINA:  QINGHAI PROVINCE,32.447,95.948,29.0,5.3,,,,,,,,,1.0,10.0,1.0,,3.0,,,,,,,,1.0,10.0,1.0,,3.0,10.8,13.9,0.8
