Fecha,Tsu,Vol,Location Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Total_Deaths,Total_Injuries,Temp_C,Wind_ms,Precip_mm
2011-04-04,0.0,0.0,"NEPAL-INDIA:  UTTARAKHAND, UTTAR PRADESH",29.698,80.754,26.0,5.4,0.0,0.0,0.0,15.1,7.6,0.2
2011-04-07,5429.0,0.0,JAPAN: NEAR E COAST HONSHU,38.276,141.588,42.0,7.1,0.0,3.0,132.0,15.1,14.9,0.0
2011-04-10,0.0,0.0,CHINA:  SICHUAN PROVINCE:  LUHUO,31.373,100.757,43.0,5.1,0.0,0.0,0.0,-2.6,3.7,0.0
2011-04-11,0.0,0.0,JAPAN:  HONSHU,37.001,140.401,11.0,6.6,0.0,7.0,0.0,14.0,22.3,11.3
2011-04-24,0.0,0.0,INDONESIA:   SULAWESI:  KENDARI,-4.586,122.771,8.0,6.1,0.0,0.0,14.0,30.5,9.8,8.2
2011-05-10,5721.0,0.0,NEW CALEDONIA:  LOYALTY ISLANDS,-20.244,168.226,11.0,6.8,2.0,0.0,0.0,0.0,0.0,0.0
2011-05-11,0.0,0.0,SPAIN:  LORCA,37.699,-1.672,1.0,5.1,0.0,10.0,0.0,23.9,15.2,0.0
2011-05-19,0.0,0.0,TURKEY:  SIMAV,39.12,29.04,7.0,4.3,0.0,2.0,125.0,19.6,11.7,7.3
2011-06-08,0.0,0.0,CHINA:  XINJIANG PROVINCE:  DABANCHENG,43.015,88.247,21.0,5.3,0.0,0.0,8.0,33.5,16.6,0.0
2011-06-13,0.0,0.0,NEW ZEALAND:  SOUTH ISLAND:  CANTERBURY,-43.564,172.743,6.0,6.0,0.0,1.0,45.0,0.0,0.0,0.0
2011-06-20,0.0,0.0,CHINA:  YUNNAN PROVINCE:  BAOSHAN,25.075,98.721,39.0,5.3,0.0,0.0,4.0,22.6,7.4,6.5
2011-06-24,5432.0,0.0,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,52.05,-171.836,52.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-26,0.0,0.0,CHINA:  QINGHAI PROVINCE,32.447,95.948,29.0,5.3,0.0,0.0,0.0,10.8,13.9,0.8
2011-07-06,5430.0,0.0,NEW ZEALAND: KERMADEC ISLANDS,-29.539,-176.34,17.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-10,5431.0,0.0,JAPAN:  HONSHU:  E COAST,38.034,143.264,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-19,0.0,0.0,"UZBEKISTAN:  FARGONA, VIOLYATI",40.081,71.41,20.0,6.1,0.0,14.0,86.0,21.2,10.8,0.0
2011-08-09,0.0,0.0,CHINA: YUNNAN PROVINCE: BAOSHAN,24.932,98.73,40.0,5.0,0.0,0.0,3.0,24.4,4.7,7.4
2011-08-11,0.0,0.0,"CHINA:  XINJIANG PROVINCE:  SOUTHERN, KASHI",39.955,77.028,10.0,5.7,0.0,0.0,21.0,23.1,17.2,1.4
2011-08-20,5437.0,0.0,VANUATU ISLANDS,-18.365,168.143,32.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-20,5436.0,0.0,VANUATU ISLANDS,-18.311,168.218,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-23,0.0,0.0,COLORADO:  SEGUNDO,37.063,-104.701,4.0,5.4,7.0,0.0,0.0,30.0,11.3,0.3
2011-08-23,0.0,0.0,"VIRGINIA:  LOUISA COUNTY, MARYLAND, WASHINGTON D.C.",37.936,-77.933,6.0,5.8,7.0,0.0,0.0,28.7,12.4,0.0
2011-09-02,5438.0,0.0,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.171,-171.708,32.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-05,0.0,0.0,INDONESIA:  SUMATRA,2.965,97.893,91.0,6.7,0.0,10.0,0.0,31.1,5.9,0.9
2011-09-07,0.0,0.0,INDIA:  DELHI,28.724,77.189,10.0,4.3,0.0,0.0,1.0,31.8,9.2,10.4
2011-09-18,0.0,0.0,INDIA:  SIKKIM,27.73,88.155,50.0,6.9,0.0,111.0,177.0,-11.2,4.7,19.8
2011-09-19,0.0,0.0,GUATEMALA:  CUILAPA SANTA ROSA,14.186,-90.238,9.0,5.6,0.0,1.0,0.0,24.3,6.6,8.8
