id,mag,place,time,updated,felt,cdi,mmi,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,lon,lat,depth,dist
ak022fas2hq5,1.4,"25 km ENE of Livengood, Alaska",2022-11-29 03:54:21.994,2022-11-29 03:58:52.460,,,,automatic,0,30,ak,022fas2hq5,",ak022fas2hq5,",",ak,",",origin,phase-data,",1.0,0.0587,0.56,110.0,ml,earthquake,-148.0101,65.571,11.7,16
hv73243642,1.84000003,,2022-11-29 03:48:11.600,2022-11-29 03:51:20.730,,,,automatic,0,52,hv,73243642,",hv73243642,",",hv,",",origin,phase-data,",26.0,0.0587,0.159999996,166.0,md,earthquake,-155.373336791992,19.1909999847412,28.8799991607666,16
ci40382160,2.21,"15km NW of Progreso, B.C., MX",2022-11-29 03:47:24.930,2022-11-29 23:17:22.726,1.0,2.0,,reviewed,0,75,ci,40382160,",ci40382160,",",ci,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",32.0,0.04512,0.23,115.0,ml,earthquake,-115.6863333,32.6793333,10.88,16
nc73812636,3.09,"136km W of Petrolia, CA",2022-11-29 03:46:12.970,2022-11-29 23:01:02.040,3.0,2.0,,reviewed,0,147,nc,73812636,",nc73812636,us7000it62,",",nc,us,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",51.0,0.154,0.22,180.0,ml,earthquake,-125.8735,40.4901667,10.01,16
hv73243632,1.80999994,"Island of Hawaii, Hawaii",2022-11-29 03:43:59.240,2022-11-29 03:47:11.630,,,,automatic,0,50,hv,73243632,",hv73243632,",",hv,",",origin,phase-data,",30.0,0.0587,0.270000011,79.0,md,earthquake,-155.524673461914,19.5235004425049,10.0,16
ci40382152,0.65,"3km SSE of Lake Henshaw, CA",2022-11-29 03:42:10.480,2022-11-29 23:08:36.210,,,,reviewed,0,6,ci,40382152,",ci40382152,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.01677,0.15,71.0,ml,earthquake,-116.7505,33.2206667,11.04,16
nn00852224,-0.4,"49 km ESE of Beatty, Nevada",2022-11-29 03:41:34.021,2022-11-29 15:35:45.126,,,,reviewed,0,0,nn,00852224,",nn00852224,",",nn,",",origin,phase-data,",6.0,0.031,0.0969,180.0,ml,earthquake,-116.2596,36.7094,10.0,16
hv73243567,1.72,"32 km E of Honaunau-Napoopoo, Hawaii",2022-11-29 03:21:41.470,2022-11-29 04:20:50.390,,,,reviewed,0,46,hv,73243567,",hv73243567,",",hv,",",origin,phase-data,",26.0,0.0587,0.28,89.0,md,earthquake,-155.557666666667,19.5113333333333,10.0,16
hv73243547,2.18,"29 km NNW of P?hala, Hawaii",2022-11-29 03:16:00.640,2022-11-29 03:21:32.380,,,,automatic,0,73,hv,73243547,",hv73243547,",",hv,",",origin,phase-data,",34.0,0.0587,0.200000003,75.0,ml,earthquake,-155.542663574219,19.4663333892822,10.0,16
ci40382144,2.11,"5km WNW of Borrego Springs, CA",2022-11-29 03:14:32.770,2022-11-29 23:03:03.614,2.0,3.6,,reviewed,0,69,ci,40382144,",ci40382144,",",ci,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",84.0,0.01266,0.17,24.0,ml,earthquake,-116.432,33.2658333,10.0,16
nc73812626,0.85,"6km W of Cobb, CA",2022-11-29 03:08:27.590,2022-11-29 03:36:12.547,,,,automatic,0,11,nc,73812626,",nc73812626,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.008475,0.01,51.0,md,earthquake,-122.791832,38.8300018,10.0,16
nc73812621,0.53,"6km W of Cobb, CA",2022-11-29 03:07:46.070,2022-11-30 07:34:10.851,,,,reviewed,0,4,nc,73812621,",nc73812621,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.008625,0.01,70.0,md,earthquake,-122.7916667,38.8298333,10.0,16
ok2022xiuv,1.4,"7 km ESE of Meeker, Oklahoma",2022-11-29 02:56:20.679,2022-11-29 13:51:09.725,,,,reviewed,0,30,ok,2022xiuv,",ok2022xiuv,",",ok,",",origin,phase-data,",54.0,0.154,0.14,55.0,ml,earthquake,-96.82566667,35.48666667,14.39,16
ak022farhg1w,1.2,,2022-11-29 02:56:03.905,2022-11-29 02:58:24.037,,,,automatic,0,22,ak,022farhg1w,",ak022farhg1w,",",ak,",",origin,phase-data,",1.0,0.0587,0.28,110.0,ml,earthquake,-148.9135,65.0961,18.6,16
ak022farha76,1.5,"32 km SSE of Nelchina, Alaska",2022-11-29 02:55:26.452,2022-11-29 03:07:47.729,,,,automatic,0,35,ak,022farha76,",ak022farha76,",",ak,",",origin,phase-data,",1.0,0.0587,0.86,110.0,ml,earthquake,-146.6356,61.7079,50.1,16
ak022farh24f,2.2,Central Alaska,2022-11-29 02:54:23.358,2022-11-29 02:56:20.390,,,,automatic,0,74,ak,022farh24f,",ak022farh24f,",",ak,",",origin,phase-data,",1.0,0.0587,0.74,110.0,ml,earthquake,-151.1114,63.2924,10.0,16
ci40382136,1.57,"28km E of Coso Junction, CA",2022-11-29 02:52:43.160,2022-11-29 22:50:08.536,,,,reviewed,0,38,ci,40382136,",ci40382136,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.1248,0.07,111.0,ml,earthquake,-117.6405,36.0695,10.0,16
us7000it5x,4.3,"148 km SW of Attu Station, Alaska",2022-11-29 02:44:29.217,2022-11-29 21:43:34.040,,,,reviewed,0,284,us,7000it5x,",us7000it5x,",",us,",",origin,phase-data,",57.0,0.154,0.79,180.0,mb,earthquake,171.7083,51.8597,10.0,16
av91723416,-0.42,"74 km NW of Ninilchik, Alaska",2022-11-29 02:41:05.000,2022-11-30 05:05:36.790,,,,reviewed,0,0,av,91723416,",av91723416,",",av,",",origin,phase-data,",7.0,0.0587,0.12,147.0,ml,earthquake,-152.775166666667,60.4263333333333,10.83,16
ak022farde7b,2.0,"53 km SE of Denali National Park, Alaska",2022-11-29 02:37:13.670,2022-11-29 02:39:14.304,,,,automatic,0,62,ak,022farde7b,",ak022farde7b,",",ak,",",origin,phase-data,",1.0,0.0587,0.72,110.0,ml,earthquake,-150.9104,63.2226,10.0,16
ak022fard94l,1.0,"72 km ESE of McCarthy, Alaska",2022-11-29 02:36:47.890,2022-11-29 02:38:10.908,,,,automatic,0,15,ak,022fard94l,",ak022fard94l,",",ak,",",origin,phase-data,",1.0,0.0587,0.06,110.0,ml,earthquake,-141.7325,61.1269,10.2,16
hv73243487,2.46000004,"32 km E of Honaunau-Napoopoo, Hawaii",2022-11-29 02:33:46.050,2022-11-29 02:37:01.950,,,,automatic,0,93,hv,73243487,",hv73243487,",",hv,",",origin,phase-data,",29.0,0.0587,0.379999995,43.0,md,earthquake,-155.557830810547,19.4936676025391,10.0,16
pr71384438,2.44,"3 km SW of Indios, Puerto Rico",2022-11-29 02:31:06.740,2022-11-29 02:57:32.940,,,,reviewed,0,92,pr,71384438,",pr71384438,",",pr,",",origin,phase-data,",13.0,0.03837,0.11,180.0,md,earthquake,-66.8391666666667,17.971,17.71,16
av91723401,0.49,"68 km NE of Nikolski, Alaska",2022-11-29 02:30:33.660,2022-11-30 04:48:08.810,,,,reviewed,0,4,av,91723401,",av91723401,",",av,",",origin,phase-data,",7.0,0.0587,0.17,180.0,ml,earthquake,-168.168666666667,53.3916666666667,10.0,16
hv73243477,2.01999998,"10 km ENE of P?hala, Hawaii",2022-11-29 02:30:25.920,2022-11-29 02:33:42.150,,,,automatic,0,63,hv,73243477,",hv73243477,",",hv,",",origin,phase-data,",23.0,0.0587,0.100000001,154.0,md,earthquake,-155.377334594727,19.2269992828369,33.7099990844727,16
hv73243462,2.38,"Island of Hawaii, Hawaii",2022-11-29 02:26:22.930,2022-11-29 03:20:54.120,,,,reviewed,0,87,hv,73243462,",hv73243462,",",hv,",",origin,phase-data,",18.0,0.0587,0.11,87.0,md,earthquake,-155.602666666667,19.4553333333333,10.0,16
ak022farapdv,1.6,"59 km WNW of Happy Valley, Alaska",2022-11-29 02:24:58.918,2022-11-29 02:26:28.216,,,,automatic,0,39,ak,022farapdv,",ak022farapdv,",",ak,",",origin,phase-data,",1.0,0.0587,0.28,110.0,ml,earthquake,-152.7282,60.142,97.4,16
nc73812601,0.81,"2km S of Anderson Springs, CA",2022-11-29 02:23:35.900,2022-11-30 07:55:10.987,,,,reviewed,0,10,nc,73812601,",nc73812601,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.003984,0.03,125.0,md,earthquake,-122.6921667,38.7545,10.0,16
av91723386,0.41,"81 km ENE of Port Alsworth, Alaska",2022-11-29 02:23:35.760,2022-11-30 04:37:29.740,,,,reviewed,0,3,av,91723386,",av91723386,",",av,",",origin,phase-data,",7.0,0.0587,0.09,180.0,ml,earthquake,-152.994166666667,60.5263333333333,10.0,16
us7000it5f,2.6,"32 km E of Honaunau-Napoopoo, Hawaii",2022-11-29 02:23:02.182,2022-11-29 21:26:41.040,,,,reviewed,0,104,us,7000it5f,",us7000it5f,",",us,",",origin,phase-data,",18.0,0.037,0.67,64.0,ml,earthquake,-155.5579,19.4862,10.0,16
nc73812591,2.4,"3km SSE of Parkfield, CA",2022-11-29 02:22:36.490,2022-11-30 01:14:14.667,,,,reviewed,0,89,nc,73812591,",nc73812591,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",62.0,0.01375,0.07,61.0,md,earthquake,-120.4225,35.876,10.0,16
hv73243452,1.79999995,,2022-11-29 02:19:38.470,2022-11-29 02:22:37.510,,,,automatic,0,50,hv,73243452,",hv73243452,",",hv,",",origin,phase-data,",8.0,0.0587,0.0900000036,108.0,md,earthquake,-155.594161987305,19.4686660766602,10.0,16
ak022far9jro,1.4,"14 km S of Trapper Creek, Alaska",2022-11-29 02:19:19.565,2022-11-29 02:21:36.917,,,,automatic,0,30,ak,022far9jro,",ak022far9jro,",",ak,",",origin,phase-data,",1.0,0.0587,0.36,110.0,ml,earthquake,-150.2651,62.1842,56.8,16
ak022far8p8r,1.6,"29 km SE of Minto, Alaska",2022-11-29 02:15:23.952,2022-11-29 02:17:29.841,,,,automatic,0,39,ak,022far8p8r,",ak022far8p8r,",",ak,",",origin,phase-data,",1.0,0.0587,1.02,110.0,ml,earthquake,-148.9382,64.9472,10.0,16
ci40382112,0.63,"12km WNW of Anza, CA",2022-11-29 02:02:31.960,2022-11-29 22:41:46.485,,,,reviewed,0,6,ci,40382112,",ci40382112,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.03465,0.11,109.0,ml,earthquake,-116.8025,33.5805,10.0,16
hv73243432,2.5,"32 km NNW of P?hala, Hawaii",2022-11-29 02:02:18.020,2022-11-29 21:23:58.040,,,,automatic,0,96,hv,73243432,",us7000it58,hv73243432,",",us,hv,",",origin,phase-data,",38.0,0.0587,0.200000003,41.0,ml,earthquake,-155.546005249023,19.4915008544922,10.0,16
