"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""2010 <= Year >= 2022""]"																																													
	2016	4	16	23	58	0	4	1	7.8			0	"ECUADOR"	"OFF COAST"	0.35	-80.16	0.6	7																663	3	9	1	6274	4	3300	4	6998	4	29672	4
	2016	4	28	19	33	7	3	1	7			0	"VANUATU"	"VANUATU ISLANDS"	-16.043	167.379	0.02	2																											
	2016	8	12	1	26	28	4	1	7.2			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-22.477	173.117	0.19	1																											
	2016	8	19	7	33	11	3	1	7.4			0	"UK TERRITORY"	"SOUTHERN ATLANTIC OCEAN"	-55.285	-31.877	0.1	1																											
	2016	8	20	9	1	26	4	1	6			0	"JAPAN"	"SANRIKU"	40.394	143.68	0.01	0																											
	2016	9	1	16	37	3	4	1	7			0	"NEW ZEALAND"	"GISBORNE"	-37.359	179.146	0.21	4																											
	2016	11	13	11	2	34	4	1	7.8			1	"NEW ZEALAND"	"OFF EAST COAST OF SOUTH ISLAND"	-42.737	173.054	6.9	17											1	1	1			2	1					3900	4	1	1		1
	2016	11	21	20	59	27	4	1	6.9			0	"JAPAN"	"E. COAST HONSHU ISLAND"	37.393	141.387	1.44	9											1										1		1				
	2016	11	24	18	43	0	4	1	6.9			0	"NICARAGUA"	"NICARAGUA"	11.96	-88.835	0.08	3																											
	2016	12	8	17	38	28	4	1	7.8			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-10.681	161.327	0.43	11																1	1						1	191	3	126	3
	2016	12	9	19	11	24	4	1	6.9			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-10.749	161.132	0.05	5																											
	2016	12	17	10	51	5	4	1	7.9			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-4.505	153.522	0.08	5																											
	2016	12	25	14	22	0	4	1	7.6			0	"CHILE"	"SOUTHERN CHILE"	-43.517	-74.391	0.44	4																							1				
	2017	1	3	21	53	7	4	1	6.9			0	"FIJI"	"FIJI ISLANDS"	-19.373	176.052	0.01	1																											
	2017	1	22	4	31	36	4	1	7.9			0	"PAPUA NEW GUINEA"	"BOUGAINVILLE ISLAND"	-6.246	155.172	0.04	1																3	1						1		3		
	2017	3	19	4	30		4	9				0	"IRAN"	"PERSIAN GULF"	27.835	51.94	3	27				5	1			20	1	10	3	85	2			5	1			20	1	10	3	85	2		
	2017	4	24	21	39	22	4	1	6.9			0	"CHILE"	"CENTRAL CHILE"	-33.038	-72.062	0.16	4																											
	2017	4	28	20	23	26	4	1	6.9			0	"PHILIPPINES"	"SOCCSKSARGEN, PHILIPPINES"	5.504	125.066	0.2	1								2	1											7	1		1	1	1		1
	2017	5	1	12	31	3	4	1	6.2			0	"USA"	"SKAGWAY, AK"	59.852	-136.677	0.06	1																											
	2017	5	29	3	45		3	9				0	"NETHERLANDS"	"NORTH SEA"			2	2											1												1				
	2017	6	12	12	28	15	4	1	6.3			0	"GREECE"	"LESBOS"	38.93	26.365	0.4	1																1	1			15	1		2	10	1	250	3
	2017	6	17	23	39	17	4	8				0	"GREENLAND"	"KARRAT FJORD, GREENLAND"	71.813	-52.569	90	5				4	1			9	1		1	11	1		1	4	1			9	1		1	11	1		1
	2017	7	17	23	35	14	4	1	7.7			0	"RUSSIA"	"BERING ISLAND"	54.443	168.857	0.1	1																											
	2017	7	19	12	50	0	4	8				0	"COLOMBIA"	"OFF THE COAST NEAR SANTA MARTA"	11	-74.3	8	7											1	1	1		1								1	1	1		1
	2017	7	20	22	31	26	4	1	6.6			0	"TURKEY"	"GULF OF GÖKOVA"	36.929	27.414	1.9	40											1					2	1			500	3		2		1		1
	2017	9	8	4	49	2	4	1	8.2			1	"MEXICO"	"S. MEXICO"	14.761	-94.103	2.7	68											1					98	2			251	3	4000	4	47468	4	94027	4
	2017	10	31	0	43	12	4	1	6.7			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-21.697	169.149	0.15	4																											
	2017	11	1	2	24	7	4	1	6.6			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-21.648	168.859	0.1	4																											
	2017	11	5	9	0	0	0	8				0	"VIETNAM"	"QUANG NAM"	15.317	108.249	8.5	1				1	1			3	1		1	3	1	3	1	1	1			3	1		1	3	1	3	1
	2017	11	19	9	26	13	4	1	6.3			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-21.638	168.673	0.05	1																											
	2017	11	19	15	10	28	4	1	6.6			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-21.503	168.598	0.08	1																											
	2017	11	19	22	43	25	4	1	7			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-21.325	168.672	0.37	5																											
	2017	12	8				3	0				0	"KERMADEC ISLANDS"	"KERMADEC ISLANDS"	-30	-179	0.5	6																											
	2018	1	10	2	51	29	4	1	7.5			0	"HONDURAS"	"OFF COAST OF HONDURAS"	17.483	-83.52	0.4	8																							1			7	1
	2018	1	14	9	18	0	4	1	7.1			0	"PERU"	"S. PERU"	-15.982	-74.512	0.15	4																											
	2018	1	23	9	32	29	4	1	7.9			0	"USA"	"KODIAK ISLAND, AK"	56.004	-149.166	0.25	64																							1				
	2018	2	9				4	6		7104		0	"PAPUA NEW GUINEA"	"KADOVAR ISLAND, PAPUA NEW GUINEA"	-3.608	144.588	1	1																											
	2018	5	4	22	32	37	4	4	6.9	6864		0	"USA"	"HAWAII"	19.313	-154.998	0.4	7																				1	1	370	4	716	3		
	2018	5	6	6	3	33	4	1	5.4	7541		0	"JAPAN"	"S. OF HONSHU ISLAND"	31.444	140.193	0.15	1																											
	2018	5	15				4	9				0	"USA"	"NORTHEAST U.S.A."			0.22	10																							1				
